,text,label,PET
0,"Llamó la esposa hecha una furia porque lo estaban esperando hacía tres horas para soplar las velitas y Juampi esperaba la playstation que le había prometido. Cuando Ernesto salió del estudio, eran las dos de la mañana. [PET_BOUNDARY]Daños colaterales[PET_BOUNDARY], se justificó, su trabajo era así y había que aceptarlo.",1,Daños colaterales
1,"Pero, a diferencia del medicamento que saltó a la fama hace poco más de dos años, el vardenafil es mucho más selectivo a la hora de inhibir la fosfodiesterasa y evita [PET_BOUNDARY]daños colaterales[PET_BOUNDARY] en cerebro, corazón, ojos, y riñones.",1,Daños colaterales
2,"los bombardeos sobre Afganistán. Victoria Clarke, portavoz del Pentágono, dijo que los ataques ya no se centraban en las defensas antiaéreas, sino especialmente en los cuarteles y las tropas de los talibán. ""Dijimos que lo haríamos, y estamos haciéndolo"", declaró. Los bombardeos no demostraban gran preocupación por los posibles [PET_BOUNDARY]daños colaterales[PET_BOUNDARY] o la muerte de civiles, ya que las bombas de fragmentación, que estallan durante la caída y esparcen a gran distancia docenas de minibombas altamente explosivas, no garantizan la precisión.",1,Daños colaterales
3,"no existe allá la posibilidad del voto directo, en tanto que desde el Estado se impone abiertamente la censura en los medios masivos de comunicación, para tratar de lavarle la cara a un gobierno que, haciendo caso omiso de Naciones Unidas, decidió por sí mismo invadir a un país petrolero inmensamente rico, sin importar los [PET_BOUNDARY]daños colaterales[PET_BOUNDARY] que ello conllevaría a la población iraquí. Las dolorosas imágenes están ahí, aunque una gran mayoría de estadounidenses no tengan acceso a ellas",1,Daños colaterales
4,"Acaso las limitaciones señaladas —entre las cuales figura el boicot de instituciones estadounidenses a figuras disidentes como Tim Robbins o Susan Sarandon— deban incluirse en el paquete de [PET_BOUNDARY]daños colaterales[PET_BOUNDARY] y sus víctimas puedan contabilizarse entre las que caen bajo el ""fuego amigo"". Pero convendría saber en qué categoría corresponde colocar el desastre cultural ocurrido luego de la toma de Bagdad, cuando el Museo Arqueológico Nacional resultó saqueado y devastado por asaltantes que nadie controló ni reprimió, o cuando la Biblioteca Nacional de Bagdad quedó vaciada y luego quemada por turbas similares ante las cuales no hubo reacción alguna del ejército ocupante, mientras el Conservatorio de Música también caía bajo el pillaje, con destrucción de todos los instrumentos musicales que cobijaba.",1,Daños colaterales
5,"El lenguaje es un arma de doble filo que muestra tanto como oculta y crea tanto como destruye. Cuando un esquimal mira a la nieve, ve una realidad totalmente distinta que la que yo veo. El esquimal tiene unos cuarenta términos para calificar la nieve. Yo, en cambio, que solo he esquiado dos veces en mi vida, simplifico esa compleja realidad en un solo concepto homogeneizador. En consecuencia, el lenguaje es a menudo utilizado para encubrir (sirvan como muestra algunos tristemente actuales eufemismos como [PET_BOUNDARY]daños colaterales[PET_BOUNDARY], guerra preventiva, downsizing y rightsizing y manipular el punto de vista.",0,Daños colaterales
6,"Al igual que a la protagonista de Problemas conyugales, los hombres le merecen una opinión muy poco favorable a Trini y Maruchi, que, en Mujeres de vida fácil, se pasan gran parte de sus días esperando a los clientes en un [PET_BOUNDARY]bar de alterne[PET_BOUNDARY], mientras suena la música de Tatuaje, de doña Concha Piquer. Tampoco ha sido fácil la vida de Paquiña, que, en Promesa de amor, nos refiere con detalle la infidelidad de su marido y las medidas que tomó.",1,Bar de alterne
7,"Es rubia y alta, parece como sueca y habla un español encanallado con gracia muy propio de las chulapas castizas que ya no existen en Madrid. Su padre y su madre son polacos que trabajaban en las minas de Almadén como técnicos de minas. Murieron en un accidente de automóvil cuando tenía cinco años. Pasó a un orfanato, a otro, luego a una familia, a otra, a un padre de mentira, a otro amoroso, hasta llegar al Johnny que la respeta y vive en ocasiones con ella. Pero el Johnny está de viaje, a lo mejor la ha abandonado y ella ha buscado por la Plaza de Santo Domingo, su territorio. En el despacho de quinielas venía perseguida por un chulo que era portero de un [PET_BOUNDARY]bar de alterne[PET_BOUNDARY] llamado La Rubia Gozosa.",1,Bar de alterne
8,"Desde su creación y hasta que fuera privatizada la institución en 1985, ninguna empresa o repartición pública podía contratar seguros con aseguradoras privadas, según lo ordenaba la ley. Asimismo, los únicos operadores autorizados en el ISE eran los propios funcionarios rentados de la entidad. El traspaso gratuito de la cartera fiscal a Inés Lucía Pinochet, sin el respaldo o autorización de una ley que lo determinara expresamente, tiene un solo nombre: [PET_BOUNDARY]apropiación indebida[PET_BOUNDARY] de recursos públicos. No hay justificación alguna para que ese hecho no haya sido debidamente investigado y, al menos, aclarado judicialmente.",1,Apropiación indebida
9,Advierte que la falta de liquidación de los gastos en forma oportuna puede provocar [PET_BOUNDARY]apropiación indebida[PET_BOUNDARY] de fondos y afecta el saldo de la caja fiscal al 31 de diciembre del año pasado.,1,Apropiación indebida
10,"A este segundo grupo lo llamo el de los objetivos truncados. Llegamos a España un número considerable, con beca la gran mayoría, con unas ganas tremendas de estudiar y volver a Guinea. Al poco de estar aquí la situación de Guinea cambió considerablemente, algunas perdieron las becas, otras vieron cómo el dinero que les llegaba mensualmente desde el país, enviado por sus padres, dejó de llegar por varias razones, entre otras muchas por la detención por opositor del cabeza de familia, o por [PET_BOUNDARY]apropiación indebida[PET_BOUNDARY] de los bienes familiares. ",1,Apropiación indebida
11,La reunión celebrada en Brasil ha sido un paso más para regular la [PET_BOUNDARY]apropiación indebida[PET_BOUNDARY] de los recursos biológicos,1,Apropiación indebida
12,"Lo ha visto en Bosnia, donde la [PET_BOUNDARY]limpieza étnica[PET_BOUNDARY] dejó un rastro de cadáveres que avergonzó a occidente. Y pudo verlo antes en Ruanda, donde una tribu enloquecida trató de exterminar a machetazos a los integrantes de otra etnia a los que poco antes consideraba compatriotas. Y ese mismo hedor agobiante lo sacudió, ya con menos sorpresa, en cierto remoto paraje de Haití, donde una dictadura salvaje apenas se tomó el trabajo de cubrir el rastro de sus crímenes.",1,Limpieza Etnica
13,"El secretario general de la ONU tiene previsto reunirse hoy con el presidente sudanés, Omar Hasan al-Bachir, antes de partir rumbo a la región occidental de Darfur, donde desde hace más de un año se perpetra una escondida [PET_BOUNDARY]limpieza étnica[PET_BOUNDARY].",1,Limpieza Etnica
14,"¡¿Me lo vas a decir, sí o no?! -exclamó ella levantando bruscamente el tono de voz-. Perdona, es que [PET_BOUNDARY]tengo la regla[PET_BOUNDARY] y estoy algo irritable.",1,Tengo la regla
15,"Es que [PET_BOUNDARY]tengo la regla[PET_BOUNDARY] —mentí de nuevo, encogiéndome de hombros—. Un grifo de regla. Suelto tanta sangre que dejaría un camino tan largo como el de las baldosas camarillas en El mago de Oz.",1,Tengo la regla
16,"Newey explicó que se aplica una regla muy particular para saber si sus ideas pueden funcionar. [PET_BOUNDARY]Tengo la regla[PET_BOUNDARY] de las 24 horas: ¿todavía parece una buena idea después de 24 horas? Al final, desarrollas una sensibilidad especial para ese procedimiento. El cerebro es una cosa increíble: puede estar haciendo algo completamente diferente, como tomar una taza de té, y de repente descubres si tu idea es buena o mala, detalló.",0,Tengo la regla
17,"Luego de 20 años, las famosas ""cookies"" podrían [PET_BOUNDARY]pasar a mejor vida[PET_BOUNDARY], de acuerdo con la intención de gigantes de internet como Google, Apple y Microsoft, que presionados por defensores de la privacidad, buscan alternativas al clásico método para conocer los hábitos de navegación de los usuarios de internet.",1,Pasar a mejor vida
18,"Eran ocho guardaespaldas chinos igualmente trajeados, más media docena de cargadores, los tres curitas y el piloto de la avioneta. De los ocho guardaespaldas, pronto sólo hubo cinco en pie. Pero la cuarta víctima no aceptó [PET_BOUNDARY]pasar a mejor vida[PET_BOUNDARY] sin forcejear y su resistencia alertó al resto de los chinos. La balacera empezó por todos lados. Eustacio y yo nos cubrimos detrás del muelle, mientras esperábamos la llegada de refuerzos. Éstos se hicieron cargo de la situación en diez minutos, pero los curitas y Ho Fong lograron huir en la avioneta. Y lo peor, las tres embarcaciones alcanzaron a escapar con rumbo al sur.",1,Pasar a mejor vida
19,"Habitualmente silencioso, lo único que lo sacaba de su mutismo casi total era hablar acerca de cada vaca individual y de su doloroso padecimiento. Para eso su memoria era más que fotográfica. Recordaba las miles de vacas a las que había ayudado a [PET_BOUNDARY]pasar a mejor vida[PET_BOUNDARY]. A todas les había puesto nombre y apellido. En su mente guardaba un álbum de fotos de todas. Un archivo completo y detallado de cada una, de sus peculiaridades físicas y de su conducta en los últimos minutos de su vida. Podía hablar por horas, por días, acerca de la ejecución.",1,Pasar a mejor vida
20,"Cuando Gregory Orlov dejó de ser útil a sus propósitos Catalina rápidamente lo reemplazó por otro y así sucesivamente, gratificando significativamente a todos y cada uno de sus amantes. Tía Iscaria ya no quiso entrar en mas detalles de los nombres y señas de sus antiguos amantes, sólo me dijo que, durante una noche de tormenta, el cofre y sus hechizos desaparecieron, dejando a una envejecida y atormentada Catalina, totalmente sola, sin amantes, vulnerable, desarmada y atormentada por sus remordimientos. Para liberarla en una parte de sus malas acciones, Algún hechicero le sugirió deshacer su pacto con el diablo canjeándole su vida para liberar su alma, Catalina puso en práctica el último de sus desaparecidos hechizos, con la esperanza de [PET_BOUNDARY]pasar a mejor vida[PET_BOUNDARY] puesto que la que llevaba dejaba mucho que desear y ya era más que suficiente.",0,Pasar a mejor vida
21,"El científico francés Bruno Le Bizec, de la Escuela Nacional de Veterinaria de Nantes, francés desarrolló una nueva prueba para detectar si los deportistas usan la [PET_BOUNDARY]sustancia prohibida[PET_BOUNDARY] nandrolona, informó la revista inglesa New Scientist. El ensayo puede distinguir entra la nandrolona producida por el cuerpo humano y la artificial tomada para aumentar la masa muscular. Ejemplo de este caso es el atleta británico Linford Christie, campeón olímpico de velocidad, quien dio positivo con nandrolona, pero dijo que nunca había tomado esa sustancia.",1,Sustancia prohibida
22,"El jugador de Independiente Santa Fe Juan Carlos Toja, dio positivo en el control antidopaje que realizó la Dimayor, tras el clásico capitalino del pasado 20 de julio. Según se conoció, la [PET_BOUNDARY]sustancia prohibida[PET_BOUNDARY] fue marihuana. Dicha droga no incrementa el rendimiento deportivo y es de uso social. El jugador ya fue notificado de la decisión y asumirá la sanción que le imponga la Dimayor. ""Sé que cometí una falta y asumo la culpa y la responsabilidad. Soy un profesional y voy a demostrar que puedo salir adelante"", declaró Toja tras el entrenamiento del elenco cardenal. Por su parte, el médico cardenal Javier Fernández, manifestó que el club capitalino respalda y apoya al jugador. ""En el club no le vamos a dar mayor trascendencia a este hecho. Vamos a apoyar al jugador y a colaborarle para que supere esta crisis"".",1,Sustancia prohibida
23,"El congresista Johnny Peralta Cruz, secretario de la Comisión de Defensa del Consumidor del Congreso, autor de uno de los recursos de reconsideración, dijo que a todas luces es claro que las tarifas de electricidad subieron 8% para el sector doméstico y 22% para el industrial, más de lo que dijo Osinerg. Agregó que los funcionarios de Osinerg sabían que con el incremento del precio del petróleo (mayor al 5%) se iba a realizar una [PET_BOUNDARY]actualización de precios[PET_BOUNDARY], causa del mayor alza.",1,Actualización de precios
24,"Asimismo, el artículo 8 determina que está prohibido utilizar ""algún mecanismo de [PET_BOUNDARY]actualización de precios[PET_BOUNDARY] distinto a los fijados en el contrato de venta programada de bienes muebles, según el plan de conformidad con las regulaciones y listados de precios fijados por el órgano regulador o contralor competente para tal fin"".",0,Actualización de precios
25,"Quien por razones de guarda legal tenga a su cuidado directo algún menor de 6 años, anciano que requiera especial dedicación, o a un [PET_BOUNDARY]disminuido[PET_BOUNDARY] físico, psíquico o sensorial que no desempeñe actividades retribuidas, tendrá derecho a una disminución de la jornada de trabajo de hasta un medio, con la reducción proporcional de sus retribuciones. Según el Real Decreto 2670/1998, de 11 de diciembre, cuando lo permita la organización del trabajo de la unidad, se concederá al funcionario la parte de la jornada que convenga a sus intereses personales.",1,Disminuido
26,"Otro hombre que aparece es el Jote, marido de la señora Inés. Éste suele emborracharse y en una de sus borracheras rompió el vestido de Marisela, causando así, otro conflicto más. Si bien es padre, no hay alusiones a este rol. Él, sin embargo, sufre por su condición, no ha tenido buenas experiencias en sus trabajos y se siente [PET_BOUNDARY]disminuido[PET_BOUNDARY] como individuo -sin relacionar esto con su deber en la familia-, él se vino del campo a la capital y se lamenta de haber tomado esa decisión:",1,Disminuido
27,"Aunque en los últimos 50 años las enfermedades transmisibles, junto con las de la nutrición y de la reproducción, han [PET_BOUNDARY]disminuido[PET_BOUNDARY] del 49.8% en 1950 al 14.0% en 2000, no tienen un significado epidemiológico similar. En el caso de las ETV presentan desde simples incrementos de incidencia, hasta enfermedades nuevas, considerándose que tienden a incrementar su trascendencia por su mortalidad (dengue hemorrágico y encefalitis) y por sus secuelas (Chagas o los tifos).",0,Disminuido
28,"Solo Alemania y Gran Bretaña han [PET_BOUNDARY]disminuido[PET_BOUNDARY] sus emisiones, el primero en 15 % y el segundo en 12 % en relación con 1990. Algunos países esperan cumplir sus compromisos agroforestales y la protección de bosques amenazados, pero la realidad es que de continuar las emisiones al ritmo que llevan en la actualidad, no se cumplirá el compromiso de reducción, sino que se incrementara entre 18 y 20 %, con respecto al 1990.",0,Disminuido
